candidate,candidate_first,party,prez_cmte,prez_id,,,leadership_pac,pac_id,super_pac_1,super_id_1,super_pac_2,super_id_2,super_pac_3,super_id_3,super_pac_4,super_id_4,super_pac_5,super_id_5,super_pac_6,super_id_6,other,other_url,scout_alerts,AdHawk_link,AdHawk_link_2
Bolton,John,r,,,,,John Bolton PAC,C00542431,John Bolton Super PAC,C00542464,,,,,,,,,,,,,y,https://www.youtube.com/channel/UCb79JcJ4uIy0W0ZF2i_XDQA/feed,
Brewer,Jan,r,,,,,,,JAN PAC,C00503540,,,,,,,,,,,,,y,n/a,
Bush,Jeb,r,"Jeb 2016, Inc.",C00579458,,,Right to Rise PAC,C00571380,Right to Rise Super PAC,C00571372,,,,,,,,,,,Right to Rise Policy Solutions (c4),http://www.sos.arkansas.gov/corps/search_corps.php?DETAIL=433675corp_type_id=corp_name=incagent_search=agent_city=agent_state=filing_number=cmd,y,https://www.youtube.com/channel/UC_Sc6pW4Xe9rQlBRajGm6yA,
Carson,Ben,r,Carson America,C00573519,,,USA First PAC,C00567685,,,,,,,,,,,,,,,y,https://www.youtube.com/user/usafirstpac,
Christie,Chris,r,"Chris Christie for President, Inc.",C00580399,,,Leadership Matters for America,C00571778,America Leads,C00573055,,,,,,,,,,,,,y,n/a,
Cruz,Ted,r,Cruz for President,C00574624,,,"Jobs, Growth and Freedom Fund",C00536540,Stand for Principle PAC,C00570325,Draft Ted Cruz for President,C00554725,Keep the Promise PAC,C00575415,Keep the Promise I,C00575373,Keep the Promise II,C00575431,Keep the Promise III,C00575423,,,y,https://www.youtube.com/user/TedCruzforSenate,
Paul,Rand,r,"Rand Paul For President, Inc.",C00575449,,,RAND PAC,C00493924,Human Action Super PAC,C00538827,America's Liberty PAC,C00532572,,,,,,,,,,,y,https://www.youtube.com/channel/UCcmPz7dhuOTTPJ0Y_-rJPMw,https://www.youtube.com/user/SenatorRandPaul/videos
Pence,Mike,r,,,,,Win Back America PAC,C00383927,,,,,,,,,,,,,,,y,n/a,
Perry,Rick,r,RickPerry.org Inc.,C00500587,,,RickPAC,C00566497,Opportunity and Freedom PAC,C00573634,,,,,,,,,,,,,y,https://www.youtube.com/channel/UCyGvGxAIB_naD76xEW-GwBw,
Rubio,Marco,r,Marco Rubio for President,C00458844,,,Reclaim America PAC,C00500025,Americans for Marco Rubio Super PAC,C00458844,,,,,,,,,,,,,y,https://www.youtube.com/user/MarcoRubio,
Santorum,Rick,r,Santorum for President 2016,C00578492,,,,,Patriot Voices (hybrid super PAC),C00528307,,,,,,,,,,,,,y,https://www.youtube.com/user/RickSantorum,https://www.youtube.com/user/PatriotVoices
Walker,Scott,r,"Scott Walker, Inc.",C00580480,,,,,Unintimidated PAC,C00576108,,,,,,,,,,,Our American Revival (527),http://forms.irs.gov/app/pod/basicSearch/search?execution=e2s5&pacid=52380,n,https://www.youtube.com/channel/UCyoE-uOjlCVzGBpp0BztOMQ,
Biden,Joe,d,,,,,,,,,,,,,,,,,,,,,n,n/a,
Clinton,Hillary,d,Hillary for America,C00575795,,,,,Priorities USA,C00495861,Ready PAC,C00540997,,,,,,,,,,,y,n/a,
O'Malley,Martin,d,O'Malley for President,C00578658,,,O' Say Can You See,C00525220,,,,,,,,,,,,,O' Say Can You See (527),http://forms.irs.gov/app/pod/basicSearch/search?execution=e1s3&pacid=46013,y,n/a,
Sanders,Bernie,d,Bernie 2016,C00577130,,,Progressive Voters of America,C00406553,Americans Socially United,C00572537,,,,,,,,,,,,,y,n/a,
Webb,Jim,d,,,,,Born Fighting PAC,C00430819,,,,,,,,,,,,,,,y,n/a,
Pataki,George,r,"Pataki for President, Inc. ",C00578245,,,,,"We the People, Not Washington",C00571356,,,,,,,,,,,Americans for Real Change (c4) ,http://www.americansforrealchange.com/,,,
Fiorina,Carly,r,Carly for President,C00577312,,,Cali for Carly Fiorina,C00576934,Carly for America,C00573154,,,,,,,,,,,,,,,
Graham,Lindsey,r,Lindsey Graham 2016,C00578757,,,Fund for America's Future,C00388934,,,,,,,,,,,,,Security Through Strength (527),http://forms.irs.gov/app/pod/basicSearch/search?execution=e3s3&pacid=52436,,,
Klobuchar,Amy,d,,,,,Follow the North Star Fund,C00431874,,,,,,,,,,,,,,,,,
McMorris Rodgers,Cathy,r,,,,,CMR PAC,C00469429,,,,,,,,,,,,,,,,,
Huckabee,Mike,r,Huckabee for President Inc,C00577981,,,Huck PAC,C00448373,Pursuing America's Greatness,C00573923,,,,,,,,,,,,,,,
Jindal,Bobby,r,Jindal for President,C00580159,,,Believe Again PAC,C00559237,Believe Again PAC,C00571711,,,,,,,,,,,American Future Project (527),http://forms.irs.gov/app/pod/basicSearch/search?execution=e3s5&pacid=52630,,https://www.youtube.com/channel/UCgjHaNpkCbtF-wlqAcMBoEg,
